datapath,cores,k,create_rdd_time,skyline_time,topk_time,skyline_topk_time
./datasets/dataset_10000_points_4_dimension_uniform_distribution.csv,1,100,0.009675133,0.049923053,1.249255304,0.021086516
./datasets/dataset_10000_points_4_dimension_uniform_distribution.csv,2,1,0.010997339,0.034354066,0.222391495,0.026268658
./datasets/dataset_10000_points_4_dimension_uniform_distribution.csv,2,10,0.01089975,0.036372992,0.391600028,0.417607611
./datasets/dataset_10000_points_4_dimension_uniform_distribution.csv,2,50,0.009631415,0.032502606,0.388115945,0.421024357
./datasets/dataset_10000_points_4_dimension_uniform_distribution.csv,2,100,0.010112017,0.048390744,0.383249528,0.419141059
./datasets/dataset_10000_points_4_dimension_uniform_distribution.csv,4,1,0.010226794,0.032589077,0.384091332,0.026759174
./datasets/dataset_10000_points_4_dimension_uniform_distribution.csv,4,10,0.01080191,0.035755386,0.397711436,0.408767814
./datasets/dataset_10000_points_4_dimension_uniform_distribution.csv,4,50,0.0104866,0.035079645,0.389650645,0.412812102
./datasets/dataset_10000_points_4_dimension_uniform_distribution.csv,4,100,0.014961753,0.035356325,0.380262243,0.415948221
./datasets/dataset_10000_points_4_dimension_uniform_distribution.csv,8,1,0.015413541,0.041183711,0.407023718,0.026042077
./datasets/dataset_10000_points_4_dimension_uniform_distribution.csv,8,10,0.010725346,0.038406597,0.38419213,0.40918754
./datasets/dataset_10000_points_4_dimension_uniform_distribution.csv,8,50,0.014299479,0.04262276,0.391161712,0.414690105
./datasets/dataset_10000_points_4_dimension_uniform_distribution.csv,8,100,0.009657104,0.037714092,0.391493321,0.410905485
./datasets/dataset_10000_points_10_dimension_anticorrelated_distribution.csv,1,1,0.010185107,19.055601529,2.444693986,0.049534653
./datasets/dataset_10000_points_10_dimension_anticorrelated_distribution.csv,1,10,0.014028995,18.970013892,3.150698882,0.057092994
./datasets/dataset_10000_points_10_dimension_anticorrelated_distribution.csv,1,50,0.009479509,19.470926822,3.113087902,0.101087297
./datasets/dataset_10000_points_10_dimension_anticorrelated_distribution.csv,1,100,0.013291654,19.140996706,3.080535765,0.103878967
./datasets/dataset_10000_points_10_dimension_anticorrelated_distribution.csv,2,1,0.009472371,9.361880771,0.798174977,0.052770896
./datasets/dataset_10000_points_10_dimension_anticorrelated_distribution.csv,2,10,0.011489282,9.172303395,0.793563282,0.063812371
./datasets/dataset_10000_points_10_dimension_anticorrelated_distribution.csv,2,50,0.012729713,9.622330663,0.822101933,0.068335421
./datasets/dataset_10000_points_10_dimension_anticorrelated_distribution.csv,2,100,0.010063671,9.837928637,0.880485004,0.108492083
./datasets/dataset_10000_points_10_dimension_anticorrelated_distribution.csv,4,1,0.015980045,9.454744346,0.793120693,0.064902212
./datasets/dataset_10000_points_10_dimension_anticorrelated_distribution.csv,4,10,0.009810562,9.43208137,0.804857924,0.056832811
./datasets/dataset_10000_points_10_dimension_anticorrelated_distribution.csv,4,50,0.009432929,9.38283651,0.805042853,0.067254696
./datasets/dataset_10000_points_10_dimension_anticorrelated_distribution.csv,4,100,0.011294559,9.133181325,0.809279913,0.075006899
./datasets/dataset_10000_points_10_dimension_anticorrelated_distribution.csv,8,1,0.009685083,9.42749662,0.794673676,0.052291427
./datasets/dataset_10000_points_10_dimension_anticorrelated_distribution.csv,8,10,0.009912395,9.382777882,0.804125167,0.053505164
./datasets/dataset_10000_points_10_dimension_anticorrelated_distribution.csv,8,50,0.011275783,9.099409654,0.801412503,0.068824587
./datasets/dataset_10000_points_10_dimension_anticorrelated_distribution.csv,8,100,0.009468325,10.590201646,0.795828257,0.07702595
./datasets/dataset_1000000_points_10_dimension_correlated_distribution.csv,1,1,0.009376231,164.006840479,826.03719317,0.1963292
./datasets/dataset_1000000_points_10_dimension_correlated_distribution.csv,1,10,0.010089066,162.76121824,1411.451281778,0.193820575
./datasets/dataset_1000000_points_10_dimension_correlated_distribution.csv,1,50,0.011503894,165.874766688,1004.872145898,0.238455801
./datasets/dataset_1000000_points_10_dimension_correlated_distribution.csv,1,100,0.013669529,170.203159711,1570.843497748,628.44065996
./datasets/dataset_1000000_points_10_dimension_correlated_distribution.csv,2,1,0.027074644,117.844847652,1832.319058017,0.271712837
./datasets/dataset_1000000_points_10_dimension_correlated_distribution.csv,2,10,0.01170126,132.338862852,645.907175107,0.204258418
./datasets/dataset_1000000_points_10_dimension_correlated_distribution.csv,2,50,0.011522787,115.353165905,1587.111016838,0.319717284

